platform,construct,indicator,n,plspm_weight,plspm_boot_mean,plspm_boot_se,plspm_t_stat,plspm_ci_lo,plspm_ci_hi,plspm_p_value,plspm_sig,smartpls_weight,smartpls_sig,abs_diff,sign_match,sig_match
coursera,Heuristic,rating_deviation,121386,0.9863038291453473,0.9857237674556022,0.007765611347983914,127.00916707625456,0.9700089279748061,1.000566127483761,0.0,***,0.986,***,0.00030382914534732297,1,1
coursera,Heuristic,recency,121386,0.22737164122806416,0.2271419778596527,0.024928546117179033,9.120934697085096,0.18368159780681914,0.27864768913699717,0.0,***,0.227,**,0.0003716412280641568,1,0
coursera,Systematic,depth,121386,1.0033322300501741,1.0026932583546946,0.01813708157663341,55.31938673875733,0.9664503580728181,1.0365460807423514,0.0,***,1.024,***,0.020667769949825887,1,1
coursera,Systematic,breadth,121386,0.009422989465801383,0.007816769315789592,0.026599194721040862,0.3542584489727984,-0.04932424202149072,0.05610074595652352,0.7231452040384698,n.s.,-0.159,***,0.1684229894658014,0,0
coursera,Systematic,readability,121386,0.02246492987047384,0.022622395312698097,0.010654233185669468,2.108544977285687,0.0007057063230951429,0.04313711395193835,0.034983876555408466,*,0.042,**,0.019535070129526162,1,0
coursera,Systematic,arousal,121386,-0.12524560172029683,-0.12564824347140438,0.020315219531934086,-6.1651119016173865,-0.16717775744377283,-0.08757854935948063,7.043330363387668e-10,***,-0.063,***,0.062245601720296834,1,1
